id,key,name,type,class_path,enabled,priority,scope_region_codes,config_json
1,government,大厂县政府网站,gov_site,app.collectors.government_collector.GovernmentCollector,True,10,131028,{}
2,baidu_news,百度新闻,search,app.collectors.baidu_news_collector.BaiduNewsCollector,True,20,,{}
3,hebei_news,河北新闻网,news_site,app.collectors.hebei_news_collector.HebeiNewsCollector,True,30,130000,{}
4,xinhua,新华网,news_site,app.collectors.xinhua_collector.XinhuaCollector,True,40,,{}
5,people,人民网,news_site,app.collectors.people_collector.PeopleCollector,True,50,,{}
6,chinanews,中国新闻网,rss,app.collectors.chinanews_collector.ChinanewsCollector,True,55,,{}
7,hebei_daily,河北日报,news_site,app.collectors.hebei_daily_collector.HebeiDailyCollector,True,60,130000,{}
8,changcheng,长城网,news_site,app.collectors.changcheng_collector.ChangchengCollector,True,65,130000,{}
9,hebei_gov,河北省人民政府,gov_site,app.collectors.hebei_gov_collector.HebeiGovCollector,True,70,130000,{}
10,shijiazhuang_gov,石家庄市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,100,130100,"{""source_name"": ""石家庄市政府网"", ""list_urls"": [""http://www.sjz.gov.cn/zfxxgk/columns/e7de71c2-8e82-4a75-8c37-02e1a3ae5a24/index.html""], ""max_articles"": 8, ""keywords"": ""石家庄,河北"", ""content_selectors"": [""div.nr""]}"
11,handan_gov,邯郸市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,105,130400,"{""source_name"": ""邯郸市政府网"", ""list_urls"": [""http://www.hd.gov.cn/qt/hdxw/201804/t20180421_778773.html""], ""max_articles"": 8, ""keywords"": ""邯郸,河北"", ""content_selectors"": [""div.TRS_Editor""]}"
12,baoding_gov,保定市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,110,130600,"{""source_name"": ""保定市政府网"", ""list_urls"": [""http://www.baoding.gov.cn/content-159-539629.html""], ""max_articles"": 8, ""keywords"": ""保定,河北"", ""content_selectors"": [""div.sj_nrbr""]}"
13,zhangjiakou_gov,张家口市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,115,130700,"{""source_name"": ""张家口市政府网"", ""list_urls"": [""https://www.zjk.gov.cn/channel/list/14.html""], ""max_articles"": 8, ""keywords"": ""张家口,河北"", ""content_selectors"": [""div.content""]}"
14,chengde_gov,承德市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,120,130800,"{""source_name"": ""承德市政府网"", ""list_urls"": [""http://www.chengde.gov.cn/col/col9943/index.html?number=CD0004A00006""], ""max_articles"": 8, ""keywords"": ""承德,河北"", ""content_selectors"": [""div.content""]}"
15,hengshui_gov,衡水市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,125,131100,"{""source_name"": ""衡水市政府网"", ""list_urls"": [""http://www.hengshui.gov.cn/col/col45/index.html""], ""max_articles"": 8, ""keywords"": ""衡水,河北"", ""content_selectors"": [""div.neirong""]}"
16,xiongan_gov,雄安新区管委会,gov_site,app.collectors.generic_site.GenericSiteCollector,True,130,133100,"{""source_name"": ""雄安新区管委会"", ""list_urls"": [""http://www.xiongan.gov.cn/tzgg.html""], ""max_articles"": 8, ""keywords"": ""雄安,河北"", ""content_selectors"": [""div.text""]}"
17,tangshan_gov,唐山市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,False,135,130200,"{""source_name"": ""唐山市政府网"", ""list_urls"": [""http://www.tangshan.gov.cn""], ""max_articles"": 8, ""keywords"": ""唐山,河北""}"
25,tangshan_huanbohai,唐山环渤海新闻网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,136,130200,"{""source_name"": ""唐山环渤海新闻网"", ""list_urls"": [""http://tangshan.huanbohainews.com.cn/node_223.html"", ""http://tangshan.huanbohainews.com.cn/node_824.html"", ""http://tangshan.huanbohainews.com.cn/""], ""max_articles"": 8, ""keywords"": """", ""content_selectors"": [""div.content"", ""div.article"", ""div.TRS_Editor""], ""link_rule"": {""href_contains"": ""content_"", ""min_title_len"": 0, ""max_links"": 40}}"
18,qinhuangdao_gov,秦皇岛市政府网,gov_site,app.collectors.generic_site.GenericSiteCollector,False,140,130300,"{""source_name"": ""秦皇岛市政府网"", ""list_urls"": [""http://www.qhd.gov.cn""], ""max_articles"": 8, ""keywords"": ""秦皇岛,河北""}"
26,qinhuangdao_news,秦皇岛新闻网,gov_site,app.collectors.generic_site.GenericSiteCollector,True,141,130300,"{""source_name"": ""秦皇岛新闻网"", ""list_urls"": [""http://www.qhdnews.com/""], ""max_articles"": 8, ""keywords"": """", ""content_selectors"": [""div.content"", ""div.article"", ""div.TRS_Editor"", ""div.text""], ""link_rule"": {""href_contains"": ""/content/"", ""max_links"": 40}}"
